Пол;Паспорт_год;СНИЛС_число;Симптомы_хэш;Врач_ID;Дни_визита;Анализы_хэш;Дни_анализов;Стоимость_число;Карта_BIN
1;23;8386379416;4000324300;33;6;1549253427;6;9000;220005
0;12;49733484339;2180719272;28;15;1421216869;30;4150;220014
0;20;49733484339;2180719272;28;15;1549253427;4;9000;220008
1;22;49733484339;2180719272;28;12;213798247;17;1650;220005
1;22;49733484339;2180719272;28;13;3113408900;17;1650;220005
1;22;49733484339;2180719272;28;6;1232299504;10;1750;220006
1;22;49733484339;3103254247;45;6;1978079573;6;600;220007
1;22;1640052497;2499026580;21;4;3495449363;4;1400;220008
1;8;26025634245;1189405222;28;7;3724089974;9;3500;220014
0;5;19655698144;85829294;23;13;653053816;16;13150;462729
0;24;77387214848;69240806;30;21;1978079573;21;600;220005
1;21;16328708376;2427771351;44;0;374702076;3;2250;220014
1;22;62316658788;363141;33;27;1549253427;28;9000;510002
1;22;6990162797;177336994;10;14;2450748798;16;3300;447520
1;22;41904966395;493978685;49;25;1978079573;26;600;427901
1;22;96507527340;1451605270;10;22;276875094;23;1650;415374
1;15;35182337470;2952391343;4;11;124332046;11;1750;220004
0;11;11671902247;3132369833;19;19;1978079573;17;1650;427644
1;21;49361832417;3132369833;44;19;1978079573;17;1650;462729
0;24;49027874216;3064583394;35;13;4000324300;13;1650;220004
0;20;87603859755;788990320;3;15;1978079573;18;3150;415374
1;3;48467737856;1924824147;35;15;1978079573;9;4150;521324
0;19;27028951785;3132369833;49;15;1978079573;16;1400;548699
0;19;49733484339;2180719272;42;15;1978079573;5;1400;427644
0;20;49733484339;2180719272;28;15;1978079573;30;600;462729
0;19;49733484339;2180719272;28;15;3495449363;19;1400;220004
1;24;49733484339;2180719272;28;15;1978079573;28;2700;447520
1;22;49733484339;2180719272;28;15;1978079573;25;1500;510002
1;22;49733484339;2180719272;28;15;1978079573;4;800;415374
0;12;15654527181;2180719272;28;15;1978079573;5;1650;220006
0;22;99809402476;2180719272;28;15;1978079573;7;800;427683
1;22;49733484339;2180719272;28;19;2782239841;19;9000;220014
0;22;49733484339;2180719272;28;12;1096459434;12;1500;220005
1;22;49733484339;2180719272;28;25;704211665;26;5150;548673
1;20;37788925575;2180719272;28;15;1978079573;6;2700;462204
1;23;35733221468;2180719272;28;15;1978079573;21;1750;220014
1;23;39240758196;2180719272;28;15;1978079573;17;1650;415374
1;6;90104328950;2180719272;28;15;1978079573;17;1650;415374
1;23;85188888077;1358833810;42;11;1978079573;17;1650;415374
1;19;40345054129;1847980543;30;28;1978079573;17;1650;415374
0;25;1658202940;3132369833;8;4;3495449363;5;1650;415374
0;12;86814473952;2180719272;28;15;1978079573;4;1650;415374
1;23;67866912578;2180719272;28;15;1978079573;5;1650;415374
1;22;95900109408;2180719272;28;15;3495449363;18;1400;220006
1;22;96325953244;317785800;25;15;3495449363;17;1400;220007
0;24;91216558594;631635885;23;1;1419601850;2;1750;220002
0;78;16940974916;1603779101;3;20;1897374757;23;1750;220005
1;16;49733484339;2427771351;44;15;1978079573;17;1650;220008
0;25;57120826776;3132826993;23;20;1978079573;17;1650;510003
1;92;87287431555;493978685;41;25;1978079573;17;1650;510002
0;16;96507527340;3559651551;0;8;1978079573;17;1650;463027
0;24;91216558594;2161429762;15;7;1870460287;10;3400;427901
1;23;39240758196;1549253427;47;18;3495449363;19;1400;220005
0;25;60529751696;830387734;28;15;1978079573;17;3400;220004
1;99;26567661822;885870647;28;15;1978079573;20;3500;220014
