Пол;Паспорт_год;СНИЛС_число;Симптомы_хэш;Врач_ID;Дни_визита;Анализы_хэш;Дни_анализов;Стоимость_число;Карта_BIN
1;23;8386379416;4000324300;33;6;1549253427;6;9000;220005
0;12;25534192873;1858872770;35;29;1421216869;30;4150;220014
0;20;69166978474;4197905142;33;4;1549253427;4;9000;220008
1;21;82278248927;1900775219;22;12;213798247;12;4450;220005
1;23;73829973768;2218024290;50;13;3113408900;16;1650;220005
1;15;60260647457;4291370498;27;6;1232299504;10;1750;220006
1;17;53462475190;3103254247;45;6;1978079573;6;600;220007
1;22;1640052497;2499026580;21;4;3495449363;4;1400;220008
1;8;26025634245;1189405222;28;7;3724089974;9;3500;220014
0;5;19655698144;85829294;23;13;653053816;16;13150;462729
0;24;77387214848;69240806;30;21;1978079573;21;600;220005
1;21;16328708376;2427771351;44;0;374702076;3;2250;220014
0;25;62316658788;363141;33;27;1549253427;28;9000;510002
0;7;6990162797;177336994;20;13;1883841056;15;3300;447520
1;14;41904966395;493978685;35;16;1896213536;18;600;427901
0;16;96507527340;1451605270;10;12;3017553397;15;1650;415374
1;15;35182337470;2952391343;4;14;2676724204;16;1750;220004
0;11;11671902247;3132369833;19;12;2190520328;15;18000;427644
1;21;49361832417;3132369833;44;19;3981121942;20;1650;462729
0;24;49027874216;3064583394;35;13;4000324300;13;1650;220004
0;20;87603859755;788990320;3;18;4112013189;18;3150;415374
1;3;48467737856;1924824147;35;8;1421216869;9;4150;521324
0;19;27028951785;3132369833;49;13;3495449363;16;1400;548699
0;19;56238692220;3653854349;42;4;3495449363;5;1400;427644
0;20;71369594430;3450282968;25;29;1978079573;30;600;462729
0;19;51712368568;1120698497;25;14;3658306479;16;1400;220004
1;24;92617964040;1870802177;37;12;1733306291;14;2700;447520
1;22;83933529034;3191699041;31;13;2818455932;17;1500;510002
1;21;83908470034;3619880217;28;13;1674287806;15;800;415374
0;12;15654527181;3113408900;6;4;3859431328;5;1650;220006
0;22;99809402476;2263087449;16;5;1515093391;5;131;268338
1;23;81561497819;1949276114;19;19;2782239841;20;5995;211786
0;25;60529751696;3799339647;44;12;1096459434;12;1500;220005
