Пол;Паспорт_год;СНИЛС_число;Симптомы_хэш;Врач_ID;Дни_визита;Анализы_хэш;Дни_анализов;Стоимость_число;Карта_BIN
1;23;8386379416;4000324300;33;6;1549253427;6;9000.0;220005
0;12;25534192873;1858872770;35;29;1421216869;30;4150.0;220014
0;20;69166978474;4197905142;33;4;1549253427;4;9000.0;220008
1;21;82278248927;1900775219;22;12;213798247;12;4450.0;220005
1;23;73829973768;2218024290;50;13;3113408900;16;1650.0;220005
1;15;60260647457;4291370498;27;6;1232299504;10;1750.0;220006
1;17;53462475190;3103254247;45;6;1978079573;6;600.0;220007
1;22;1640052497;2499026580;21;4;3495449363;4;1400.0;220008
1;8;26025634245;1189405222;28;7;3724089974;9;3500.0;220014
0;5;19655698144;85829294;23;13;653053816;16;13150.0;462729
0;24;77387214848;69240806;30;21;1978079573;21;600.0;220005
1;21;16328708376;2427771351;44;0;374702076;3;2250.0;220014
0;25;62316658788;363141;33;27;1549253427;28;9000.0;510002
0;7;6990162797;177336994;10;14;2450748798;16;3300.0;447520
1;14;41904966395;493978685;49;25;1978079573;26;600.0;427901
0;16;96507527340;1451605270;10;22;276875094;23;1650.0;415374
1;15;35182337470;2952391343;4;11;124332046;11;1750.0;220004
0;11;11671902247;3132369833;19;19;1834439582;20;18000.0;427644
1;21;49361832417;3132369833;44;19;3981121942;20;1650.0;462729
0;24;49027874216;3064583394;35;13;4000324300;13;1650.0;220004
0;20;87603859755;788990320;3;18;4112013189;18;3150.0;415374
1;3;48467737856;1924824147;35;8;1421216869;9;4150.0;521324
0;19;27028951785;3132369833;49;13;3495449363;16;1400.0;548699
0;19;56238692220;3653854349;42;4;3495449363;5;1400.0;427644
0;20;71369594430;3450282968;25;29;1978079573;30;600.0;462729
0;19;51712368568;1120698497;25;18;3495449363;19;1400.0;220004
1;24;92617964040;1870802177;22;27;2096270620;28;2700.0;447520
1;22;83933529034;3191699041;51;25;1096459434;25;1500.0;510002
1;21;83908470034;3619880217;44;4;1515093391;4;800.0;415374
0;12;15654527181;3113408900;6;4;3859431328;5;1650.0;220006
0;22;99809402476;2263087449;16;5;1515093391;7;800.0;427683
1;23;81561497819;1949276114;19;19;2782239841;19;9000.0;220014
0;25;60529751696;3799339647;44;12;1096459434;12;1500.0;220005
1;24;77997995546;979460204;53;25;704211665;26;5150.0;548673
1;20;37788925575;2263087449;44;4;1053965604;6;2700.0;462204
1;23;35733221468;2391349207;50;19;4089238892;21;1750.0;220014
1;23;39240758196;2308805359;15;5;4078307318;5;1750.0;220005
1;6;90104328950;166415137;15;4;815115276;5;3400.0;462729
1;23;85188888077;1358833810;42;11;3495449363;11;1400.0;415428
1;19;40345054129;1847980543;30;28;3294976441;31;1650.0;463027
0;25;1658202940;3132369833;8;4;3495449363;5;1400.0;548699
0;12;86814473952;285245067;14;4;1978079573;4;600.0;510003
1;23;67866912578;1720483841;21;4;1978079573;5;600.0;220004
0;24;95900109408;389979431;29;18;3495449363;18;1400.0;220006
1;14;96325953244;317785800;25;15;3495449363;17;1400.0;220007
0;24;91216558594;631635885;23;1;1419601850;2;1750.0;220002
0;78;16940974916;1603779101;3;20;1897374757;23;1750.0;220005
1;16;49733484339;2427771351;44;15;1513387560;16;3300.0;220008
0;25;57120826776;3132826993;23;20;1019998853;23;9000.0;510003
1;92;87287431555;493978685;41;25;1515093391;26;800.0;510002
0;16;96507527340;3559651551;0;8;733370363;10;1750.0;463027
0;24;91216558594;2161429762;15;7;1870460287;10;3400.0;427901
1;23;39240758196;1549253427;47;18;3495449363;19;1400.0;220005
0;25;60529751696;830387734;3;13;1242382858;17;3400.0;220004
1;99;26567661822;885870647;50;18;925039077;20;3500.0;220014
0;78;16940974916;3132369833;42;14;3495449363;14;1400.0;447520
0;20;69166978474;982408103;34;18;1837694195;18;3500.0;462204
0;19;27028951785;1720483841;44;13;494303515;14;3100.0;548699
0;24;91216558594;1549253427;49;13;3495449363;13;1400.0;220007
0;23;54033173949;1549253427;25;11;3495449363;11;1400.0;220005
0;23;54033173949;656854404;48;13;1531816353;13;3500.0;415374
0;24;95900109408;2499026580;14;25;1978079573;25;600.0;447520
1;23;8386379416;3619880217;41;21;1978079573;21;600.0;220006
1;21;49361832417;318944160;49;29;1515093391;30;800.0;220014
0;12;86814473952;318876961;6;18;1094019745;18;1750.0;220004
1;3;48467737856;4215787964;28;28;163398045;31;1750.0;463027
0;16;96507527340;3066118668;42;25;3495449363;26;1400.0;220006
1;92;87287431555;2263087449;13;20;3495449363;23;1400.0;415374
0;25;1658202940;2263087449;42;4;3495449363;4;1400.0;220004
1;23;35733221468;285245067;5;4;3495449363;4;1400.0;437772
1;23;73829973768;317785800;18;25;3495449363;26;1400.0;220002
0;20;87603859755;528139998;23;0;2333901969;2;13250.0;220005
0;56;72434266183;3458713082;9;1;1515093391;2;800.0;427644
1;23;35733221468;1358833810;39;11;1978079573;11;600.0;548673
1;17;53462475190;2263087449;49;11;1978079573;12;600.0;415374
1;17;60937966034;2756615127;22;4;2164581433;5;2450.0;415374
0;23;25134125224;2341420833;29;5;1978079573;6;600.0;548673
1;22;19034043844;3799339647;2;18;1978079573;19;600.0;548673
1;22;19034043844;1856959295;34;27;1358833810;27;1750.0;447520
0;23;66711684521;3450282968;14;27;3495449363;27;1400.0;220014
0;25;1658202940;285245067;49;29;3495449363;31;1400.0;510002
0;24;49027874216;1113274541;34;22;2448864792;24;1750.0;548699
1;21;83908470034;3619880217;49;22;1515093391;24;800.0;510002
0;20;87603859755;1358833810;16;25;1515093391;26;800.0;447520
0;19;27028951785;3377130313;26;7;885870647;10;1650.0;415374
1;16;49733484339;3132369833;8;15;1978079573;16;600.0;510020
1;10;66618892455;2252584194;48;12;3290659648;12;4450.0;220004
