ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Смирнов Макар Дмитриевич;5023 529904;083-863-794 16;беспокойство;психиатр;2025-11-26T14:00+03:00;электроэнцефалография;2025-11-27T17:00+03:00;9000 руб.;2200 0507 8161 8490
Рыбакова Дарья Артемовна;6112 874629;255-341-928 73;сухой кашель, мокрота;пульмонолог;2025-12-19T17:15+03:00;анализ крови на альфа-1-антитрипсин, рентген грудной клетки;2025-12-22T09:00+03:00;4150 руб.;2200 1439 5376 7243
Молчанова Марина Федоровна;5020 167754;691-669-784 74;тревожность, панические атаки, апатия;психиатр;2025-11-24T13:45+03:00;электроэнцефалография;2025-11-25T13:45+03:00;9000 руб.;2200 0881 4893 2527
Скворцов Павел Алексеевич;6321 855663;822-782-489 27;частое мочеиспускание, кровь в моче, изменение цвета мочи;нефролог;2025-12-02T14:45+03:00;узи почек, анализ мочи;2025-12-04T09:00+03:00;4450 руб.;2200 0507 8161 8490
Крылов Геннадий Александрович;7723 249566;738-299-737 68;судороги;флеболог;2025-12-03T15:45+03:00;анализ крови на Д-димер;2025-12-08T09:00+03:00;1650 руб.;2200 0513 3387 2627
Новиков Никита Станиславович;6615 224131;602-606-474 57;скованность движений, нарушение осанки, мышечные зажимы;остеопат;2025-11-26T13:15+03:00;функциональные тесты;2025-12-01T12:15+03:00;1750 руб.;2200 0688 2081 2197
Филиппов Валентин Степанович;4717 273433;534-624-751 90;общая слабость, общее недомогание, незначительное повышение температуры;торакальный хирург;2025-11-26T17:30+03:00;общий анализ мочи;2025-11-27T17:00+03:00;600 руб.;2200 0749 8084 1240
Власов Виктор Дмитриевич;7822 952274;016-400-524 97;легкая тошнота, общая слабость, общее недомогание;неонатолог;2025-11-24T11:00+03:00;общий анализ крови, общий анализ мочи;2025-11-25T17:00+03:00;1400 руб.;2200 0881 4893 2527
Баранов Вячеслав Григорьевич;3608 838743;260-256-342 45;боль в глазах, отек век;офтальмолог;2025-11-27T12:45+03:00;периметрия, измерение внутриглазного давления;2025-12-01T09:00+03:00;3500 руб.;2200 1439 5376 7243
Козлова Злата Дмитриевна;0205 278362;196-556-981 44;необъяснимая потеря веса, уплотнения;онколог;2025-12-03T09:15+03:00;мрт с контрастом, анализ крови на онкомаркеры;2025-12-08T09:00+03:00;13150 руб.;4627 2948 4656 4825
Захарова Ульяна Степановна;1624 337903;773-872-148 48;повышенная температура у детей;педиатр;2025-12-11T13:15+03:00;общий анализ мочи;2025-12-12T14:15+03:00;600 руб.;2200 0513 3387 2627
Константинов Максим Ярославович;7721 787444;163-287-083 76;головная боль, легкая тошнота;терапевт;2025-11-20T16:45+03:00;общий анализ мочи, анализ крови на сахар;2025-11-24T17:00+03:00;2250 руб.;2200 1439 5376 7243
Павловсская Нина Ярославовна;7725 158158;623-166-587 88;беспокойство, депрессия;психиатр;2025-12-17T15:45+03:00;электроэнцефалография;2025-12-19T10:45+03:00;9000 руб.;5100 0288 9373 4672
Филиппова Диана Витальевна;BM9961107;069-901-627 97;аллергические реакции, хроническая усталость;иммунолог;2025-12-04T14:30+03:00;анализ крови на субпопуляции лимфоцитов, анализ крови на иммуноглобулины;2025-12-08T09:00+03:00;3300 руб.;4475 2053 1003 3090
Романчук Богдан Валентинович;5914 171721;419-049-663 95;головная боль, общая слабость, незначительное повышение температуры;физиотерапевт;2025-12-15T13:00+03:00;общий анализ мочи;2025-12-17T17:00+03:00;600 руб.;4279 0106 7165 7265
Петухова Злата Олеговна;7816 487283;965-075-273 40;аллергические реакции, частые инфекции;иммунолог;2025-12-12T13:00+03:00;анализ крови на иммунограмму;2025-12-15T09:00+03:00;1650 руб.;4153 7477 0143 6340
Романчук Раиса Романовна;7815 126517;351-823-374 70;увеличение лимфоузлов;гематолог;2025-12-01T12:30+03:00;коагулограмма;2025-12-02T12:30+03:00;1750 руб.;2200 0484 2710 9478
Зайцева Анастасия Денисовна;N74119726;116-719-022 47;головная боль;невролог;2025-12-09T12:45+03:00;электромиография, кт головного мозга;2025-12-12T09:00+03:00;18000 руб.;4276 4413 3412 3283
Марков Никита Филиппович;7721 244763;493-618-324 17;головная боль;терапевт;2025-12-09T13:45+03:00;анализ крови на сахар;2025-12-12T09:45+03:00;1650 руб.;4627 2948 4656 4825
Дмитриева Антонина Филипповна;0624 704939;490-278-742 16;влажный кашель, одышка, приступы удушья;пульмонолог;2025-12-03T14:30+03:00;анализ крови на альфа-1-антитрипсин;2025-12-05T09:00+03:00;1650 руб.;2200 0484 2710 9478
Власова Алла Николаевна;7220 001207;876-038-597 55;запор;гастроэнтеролог;2025-12-08T11:30+03:00;анализ крови на печеночные пробы, биохимический анализ крови;2025-12-09T17:00+03:00;3150 руб.;4153 7477 0143 6340
Макаров Егор Станиславович;5203 161451;484-677-378 56;кашель с мокротой, боль в груди при дыхании, одышка;пульмонолог;2025-11-28T15:30+03:00;анализ крови на альфа-1-антитрипсин, рентген грудной клетки;2025-12-01T09:30+03:00;4150 руб.;5213 2427 8755 8865
Соловьева Милана Григорьевна;2319 695929;270-289-517 85;головная боль;физиотерапевт;2025-12-03T11:00+03:00;общий анализ мочи, общий анализ крови;2025-12-08T09:00+03:00;1400 руб.;5486 9957 8091 3433
Алексеева Василиса Ярославовна;3819 307619;562-386-922 20;головная боль, легкая тошнота, незначительное повышение температуры;стоматолог-терапевт;2025-11-24T12:45+03:00;общий анализ мочи, общий анализ крови;2025-11-27T09:00+03:00;1400 руб.;4276 4413 3412 3283
Семенова Виктория Артемовна;5020 403381;713-695-944 30;общая слабость, общее недомогание;ортодонт;2025-12-19T16:30+03:00;общий анализ мочи;2025-12-22T09:00+03:00;600 руб.;4627 2910 4709 5211
Большакова Галина Владиславовна;0319 309479;517-123-685 68;незначительное повышение температуры;ортодонт;2025-12-08T10:45+03:00;общий анализ мочи, общий анализ крови;2025-12-11T09:00+03:00;1400 руб.;2200 0498 5931 7464
